id,name,description,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,price_quote_checkin_date,price_quote_checkout_date,price_quote_total_price,price_quote_price_per_night,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,number_of_reviews,nearby_places_count
45855270,Rossio Garden Hotel,"Rossio Garden Hotel is a hotel located in Lisbon Historical Center, a couple of meters from the famous Rossio Square.<br /><br />You will find yourself right in the heart of Lisbon and you will be able to experience all the major city charms by foot.<br /><br />By just walking 2 minutes you can reach all the most known neighborhoods as Baixa, Chiado, Principe Real, Bairro Alto, Avenida da Liberdade, etc...<br /><br />All the famous squares and viewpoints are also right down the corner.",Santa Maria Maior,38.71562,-9.14051,Room in boutique hotel,Private room,2,1 private bath,1.0,1.0,"[""Exterior security cameras on property"", ""TV"", ""Shampoo"", ""Hot water"", ""Building staff"", ""Self check-in"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm"", ""Private living room"", ""Essentials"", ""Air conditioning"", ""Hangers""]",$89.00,2026-03-30,2026-03-31,89.0,89.0,4.6,4.78,4.89,4.62,1909,2576
4132059,Lisbon Apt. Sunshine 1,"We offer You  a comfortable renovated 3-bedroom apartment in Bairro Alto, the historical center of Lisbon.",Misericrdia,38.71448,-9.14512,Entire rental unit,Entire home/apt,6,1 bath,3.0,5.0,"[""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Smoking allowed"", ""Dishes and silverware"", ""Host greets you"", ""Washer"", ""Shampoo"", ""Microwave"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Heating"", ""Iron"", ""Cooking basics""]",$109.00,2026-04-22,2026-04-23,109.0,109.0,4.78,4.8,4.88,4.78,1321,2680
1085634,Cozy  Flat at Bica/ Bairro Alto,,Misericrdia,38.7096,-9.14628,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,"[""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Stove"", ""Host greets you"", ""Washer"", ""First aid kit"", ""TV with standard cable"", ""Private entrance"", ""Shampoo"", ""Microwave"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Pets allowed"", ""Crib"", ""Heating"", ""Iron"", ""High chair"", ""Long term stays allowed"", ""Cooking basics""]",$97.00,2026-04-01,2026-04-02,97.0,97.0,4.84,4.83,4.93,4.84,1166,2371
19171082,Bairro Alto Suites,"Bairro Alto Suites is located in Lisbon Historical Center, in a very calm area of the famous Bairro Alto Neighborhood. Walk out the door and you will find yourself right in the heart of Lisbon. You will be able to experience all the major city charms by foot.  <br /> <br />By just walking 2 minutes you can reach all the most known neighborhoods as Baixa, Chiado, Principe Real, Rossio, Avenida da Liberdade etc. Only 100m away you will find the famous viewpoint Miradouro São Pedro de Alcântara.",Misericrdia,38.71453,-9.14533,Room in boutique hotel,Private room,2,1 private bath,1.0,1.0,"[""Shampoo"", ""Heating"", ""Self check-in"", ""Hair dryer"", ""Bed linens"", ""Carbon monoxide alarm"", ""Wifi"", ""Building staff"", ""Fire extinguisher"", ""Body soap"", ""Smoke alarm"", ""Essentials"", ""Air conditioning"", ""Laundromat nearby"", ""Hangers"", ""First aid kit"", ""TV with standard cable"", ""Paid parking off premises""]",$129.00,2026-04-02,2026-04-03,,,4.72,4.86,4.86,4.64,1103,2683
19240515,Center cozy flat in Lisbon; Best location and view,"The flat stands out for the “Best Location”,In the  CENTER IT´S POSSIBLE  TO VISIT ALLl TOURIST POINTS BY WALKING, <br />It's at Rossio station close to Figueira Square and “below the São Jorge Castle”. You can have an amazing view to the center and Rio Tejo just behind of it.  <br />The building is listed as one of the historic house, on the third floor, has a good air circulation and light with 5 windows and a amazing view from the room",Santa Maria Maior,38.71224,-9.13597,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,"[""Private patio or balcony"", ""Hot water"", ""Extra pillows and blankets"", ""Outro electric stove"", ""Oven"", ""Lake access"", ""Hair dryer"", ""Wifi"", ""Conditioner"", ""Room-darkening shades"", ""Kitchen"", ""Babysitter recommendations"", ""Central heating"", ""HDTV with Netflix, premium cable, standard cable"", ""Bay view"", ""Sea view"", ""Dishes and silverware"", ""Baking sheet"", ""River view"", ""Carbon monoxide alarm"", ""Bed linens"", ""Dining table"", ""Clothing storage: walk-in closet"", ""Fire extinguisher"", ""Paid parking on premises"", ""Coffee"", ""First aid kit"", ""Lockbox"", ""Shampoo"", ""Microwave"", ""Body soap"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Freezer"", ""Laundromat nearby"", ""City skyline view"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Bathtub"", ""Waterfront"", ""Pets allowed"", ""Paid parking off premises"", ""Free washer \u2013 In unit"", ""Ethernet connection"", ""Drying rack for clothing"", ""Shower gel"", ""Self check-in"", ""Iron"", ""Long term stays allowed"", ""Cooking basics"", ""Central air conditioning""]",$130.88,2026-04-06,2026-04-07,130.88,130.88,4.75,4.69,4.94,4.75,1042,2195
176153,The White House - Historical Center,"Commemorating more than 1.300 - 5 star reviews. Special discounted prices for March, April and May - The discount is already in the price you get when choosing any of those months. <br />A XVIII century cosy, luxurious, luminous apartment full of charm with 2 rooms in the Historical Centre, walking distance everywhere. Quality, location, location, location and excellence of service.",Misericrdia,38.70781,-9.1451,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,"[""Toaster"", ""Harbor view"", ""Hot water"", ""Building staff"", ""Hair dryer"", ""Wifi"", ""Portable fans"", ""Kitchen"", ""HDTV with premium cable"", ""Babysitter recommendations"", ""Free washer"", ""Baby safety gates"", ""Bay view"", ""Dishwasher"", ""Hot water kettle"", ""Dishes and silverware"", ""River view"", ""Baby bath"", ""Stove"", ""Bed linens"", ""Dining table"", ""Paid parking lot on premises"", ""Fire extinguisher"", ""Books and reading material"", ""Coffee"", ""First aid kit"", ""Microwave"", ""Luggage dropoff allowed"", ""Body soap"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Freezer"", ""Laundromat nearby"", ""Hangers"", ""Dedicated workspace"", ""Coffee maker"", ""Wine glasses"", ""Waterfront"", ""Paid parking off premises"", ""Beach access"", ""Crib"", ""Heating"", ""Self check-in"", ""Shower gel"", ""Iron"", ""High chair"", ""Long term stays allowed"", ""Cooking basics"", ""Central air conditioning"", ""Single level home"", ""Cleaning products""]",$212.26,2026-05-06,2026-05-07,212.26,212.26,4.89,4.95,4.93,4.82,939,2209
447832,Your home in Bairro Alto,"Welcoming, with lots of light and right in the heart of Lisbon, our apartment has been totally renovated and is located on a small charming residential street with a tiny chapel on the corner, just a few minutes from restaurants, bars, galleries, shops, theatres and museums.",Misericrdia,38.7116263,-9.1461882,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Hot water"", ""Extra pillows and blankets"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Room-darkening shades"", ""Kitchen"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""Books and reading material"", ""Host greets you"", ""First aid kit"", ""Private entrance"", ""Shampoo"", ""Luggage dropoff allowed"", ""Body soap"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Wine glasses"", ""Heating"", ""Shower gel"", ""Iron"", ""Air conditioning"", ""Cooking basics"", ""Clothing storage"", ""Cleaning products""]",$116.86,2026-04-04,2026-04-06,233.71,116.86,4.98,4.98,4.95,4.92,926,2487
493274,The Flat with The View,"Rated one of ""The Most Romantic Airbnbs in Europe"" by the world reference magazine Condé Nast Traveller and one of ""The Best Airbnbs in Lisbon"" by The Times and Time Out magazine. <br /><br />The best view (almost 360º) in Lisbon from the coolest flat in a great location! The perfect nest for couples or lone writers! A truly genuine and very special way to experience beautiful old Lisboa!",So Vicente,38.72068,-9.13157,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""Toaster"", ""Private patio or balcony"", ""Hot water"", ""Extra pillows and blankets"", ""Oven"", ""Housekeeping available 1 day a week - available at extra cost"", ""Hair dryer"", ""Outlet covers"", ""Conditioner"", ""Room-darkening shades"", ""Fast wifi \u2013 506 Mbps"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s dinnerware"", ""Hot water kettle"", ""Dishes and silverware"", ""River view"", ""Carbon monoxide alarm"", ""Bed linens"", ""Dining table"", ""Clothing storage: closet and wardrobe"", ""Fire extinguisher"", ""Books and reading material"", ""Outdoor dining area"", ""Coffee"", ""First aid kit"", ""HDTV with standard cable"", ""Window AC unit"", ""Mini fridge"", ""Teka induction stove"", ""Private entrance"", ""Bluetooth sound system"", ""Outdoor furniture"", ""Paid street parking off premises"", ""Lockbox"", ""Shampoo"", ""Microwave"", ""Body soap"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Freezer"", ""Children\u2019s books and toys"", ""Crib - available upon request"", ""City skyline view"", ""Hangers"", ""Dedicated workspace"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Waterfront"", ""Free washer \u2013 In unit"", ""Ethernet connection"", ""Heating"", ""Drying rack for clothing"", ""Shower gel"", ""Self check-in"", ""Iron"", ""High chair"", ""Long term stays allowed"", ""Cooking basics"", ""Board games"", ""Central air conditioning"", ""Laundromat nearby"", ""Garden view"", ""Cleaning products""]",$195.50,2026-04-15,2026-04-17,391.0,195.5,4.93,4.89,4.89,4.8,898,2306
1916892,Alfama Blue House I (River View),"Alfama Blue House I & II are small and charming apartments in Alfama, the oldest neighborhood of Lisbon.<br /><br />They are located a few steps away from Miradouro Santa Lúzia and near São Jorge Castle. The tram 28 is just a 2-minute walk from the flats.",Santa Maria Maior,38.71303,-9.12701,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,"[""Private patio or balcony"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""River view"", ""Stove"", ""Bed linens"", ""Fire extinguisher"", ""First aid kit"", ""TV with standard cable"", ""Lockbox"", ""Microwave"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Heating"", ""Self check-in"", ""Iron"", ""Air conditioning"", ""Cooking basics""]",$142.65,2026-04-05,2026-04-06,142.65,142.65,4.92,4.96,4.91,4.87,865,1746
6429072,Lisbon rooftop with terrace and stunning views,"A stylish 1-bedroom rooftop apartment with a private terrace and stunning views of the Sao Jorge Castle and Tagus river. Located in the heart of Lisbon, in Marques de Pombal close to the emblematic Eduardo VII park and Avenida da Liberdade.<br />⚠️PLEASE NOTE there is construction work next door and may be noisy during the day**<br /><br />The rooftop apartment is accessible via an outdoor spiral staircase. Due to the stairs, please note that this apartment is not suitable for people with reduced mobility.",Santo Antnio,38.72495,-9.15241,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,"[""AC - split type ductless system"", ""Toaster"", ""Hot water"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Hair dryer"", ""50 inch HDTV with standard cable"", ""Wifi"", ""Kitchen"", ""Babysitter recommendations"", ""Paid parking garage off premises"", ""Park view"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Dishes and silverware"", ""River view"", ""Bed linens"", ""Blender"", ""Dining table"", ""Fire extinguisher"", ""Books and reading material"", ""Outdoor dining area"", ""Coffee"", ""First aid kit"", ""Ceiling fan"", ""Mini fridge"", ""Heating - split type ductless system"", ""Outdoor furniture"", ""Shampoo"", ""Microwave"", ""Sun loungers"", ""Luggage dropoff allowed"", ""JBL Bluetooth sound system"", ""Body soap"", ""Refrigerator"", ""Freezer"", ""Essentials"", ""Laundromat nearby"", ""Elevator"", ""City skyline view"", ""Hangers"", ""Dedicated workspace"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Cleaning available during stay"", ""Ethernet connection"", ""Crib"", ""Drying rack for clothing"", ""Shower gel"", ""Self check-in"", ""Iron"", ""Long term stays allowed"", ""Keypad"", ""Siemens electric stove"", ""Cooking basics"", ""Clothing storage: closet"", ""Cleaning products""]",$224.00,2026-04-18,2026-04-19,224.0,224.0,4.95,4.98,4.87,4.88,848,2424
416929,A room at the República das bananas,Bananas Republic is an old flat in a building from 1909.,Arroios,38.7338,-9.133,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,"[""Record player"", ""Sound system"", ""Hot water"", ""Extra pillows and blankets"", ""Oven"", ""Wifi"", ""Portable fans"", ""Kitchen"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bed linens"", ""Portable air conditioning"", ""Dining table"", ""Fire extinguisher"", ""Books and reading material"", ""Host greets you"", ""Coffee"", ""First aid kit"", ""TV with standard cable"", ""Piano"", ""Stainless steel gas stove"", ""Luggage dropoff allowed"", ""Bikes"", ""Smoke alarm"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Children\u2019s books and toys"", ""Hangers"", ""City skyline view"", ""Dedicated workspace"", ""Coffee maker"", ""Pets allowed"", ""Paid parking off premises"", ""Heating"", ""Shower gel"", ""Patio or balcony"", ""Iron"", ""Clothing storage: closet"", ""Baby monitor"", ""Backyard""]",$37.00,2026-03-30,2026-03-31,37.0,37.0,4.6,4.61,4.66,4.7,837,1438
789789,Chiado Loft 3 Fantastic New Place,,Misericrdia,38.71121,-9.14693,Entire rental unit,Entire home/apt,4,1 bath,0.0,1.0,"[""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Kitchen"", ""Dryer"", ""Dishwasher"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Bed linens"", ""Fire extinguisher"", ""Washer"", ""First aid kit"", ""TV with standard cable"", ""Shampoo"", ""Microwave"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Hangers"", ""Coffee maker"", ""Heating"", ""Shower gel"", ""Iron"", ""Air conditioning"", ""Cooking basics""]",$179.00,2026-04-16,2026-04-18,358.0,179.0,4.9,4.96,4.93,4.85,835,2500
13231767,Bed in a 6-bed dorm @ This Is Lisbon Hostel,"We are located in the old-town, near Alfama, Castle, Graca, at a walking distance from all major attractions in Lisbon such as Tram 28, Rossio Square and Flea Market. We have a unique terrace and view over Lisbon. Price includes internet wi-fi. We have 24-hour reception and luggage room for free.",Santa Maria Maior,38.71497,-9.13363,Shared room in hostel,Shared room,1,2 shared baths,1.0,6.0,"[""Paid washer \u2013 In unit"", ""Hot water"", ""Extra pillows and blankets"", ""Oven"", ""BBQ grill"", ""Building staff"", ""Hair dryer"", ""Wifi"", ""Paid dryer \u2013 In unit"", ""Room-darkening shades"", ""Kitchen"", ""Pack \u2019n play/Travel crib"", ""Dishwasher"", ""Dishes and silverware"", ""Stove"", ""Bed linens"", ""Fire extinguisher"", ""First aid kit"", ""Microwave"", ""Luggage dropoff allowed"", ""Exercise equipment"", ""Smoke alarm"", ""Refrigerator"", ""Freezer"", ""Essentials"", ""City skyline view"", ""Hangers"", ""Coffee maker: Nespresso"", ""Barbecue utensils"", ""Heating"", ""Self check-in"", ""Shower gel"", ""Iron"", ""Long term stays allowed"", ""Shared patio or balcony"", ""Cooking basics"", ""Backyard""]",$28.00,2026-04-05,2026-04-06,28.0,28.0,4.82,4.69,4.71,4.82,834,2199
